111.210235,86.39396083
362.4306339,86.01978797
613.6510327,85.65377888
864.8714315,85.23198401
1116.09183,84.74896086
1367.312229,84.21967633
1618.532628,83.66453987
1869.753027,83.0903546
2120.973426,82.51208744
2372.193825,82.00865486
2623.414223,81.56372931
2874.634622,81.15281948
3125.855021,80.75959781
3377.07542,80.3309998
3628.295819,79.81260031
3879.516218,79.23297252
4130.736616,78.62068966
4364.012701,77.70952204
4543.455843,76.49436731
4675.047481,75.27476787
4788.694804,74.05532717
4896.360689,72.83620394
5014.149008,71.51035859
5153.562526,69.77442676
5267.209849,68.60419546
5380.857173,67.39427916
5506.467372,66.11082294
5638.059009,64.87178506
5769.650647,63.66651551
5907.223722,62.47206914
6056.759674,61.2525796
6218.258502,60.02974081
6391.720206,58.80993727
6577.144786,57.59795735
6768.550804,56.42109865
6965.93826,55.25621549
7163.325717,54.06023795
7354.731735,52.85302023
7546.137753,51.64401668
7743.525209,50.41053683
7952.875542,49.19029309
8180.170188,47.97878938
8419.427711,46.79300156
8664.666672,45.65265873
8915.88707,44.61722037
9167.107469,43.76138498
9418.327868,43.00759674
9669.548267,42.16536764
9920.768666,41.23877956
10171.98906,40.3271584
10423.20946,39.47948678
10674.42986,38.7284198
10925.65026,38.07259681
11176.87066,37.48072337
11428.09106,36.89701371
11679.31146,36.28473084
11930.53186,35.62210471
12181.75226,34.93498727
12432.97265,34.27780365
12672.23018,33.70211453
