_______                    _____________________ 
__  __ \______________________  /___    |__  __ \
_  / / /__  __ \  _ \_  __ \_  / __  /| |_  /_/ /
/ /_/ /__  /_/ /  __/  / / /  /___  ___ |  ____/ 
\____/ _  .___/\___//_/ /_//_____/_/  |_/_/      
       /_/                                       
=================================================
Vehicle: FSAE Car
Track:   2019 Endurance
Date:    20/10/2021
Time:    12:40:09
=================================================
Simulation started.
Maximum speed calculated at all points.
Found all apexes on track.
Starting acceleration and deceleration.
Running: [||||||||||||||||||||||||||||||] 100 [%]
________________________________________________
|_Apex__|_Point_|_Mode__|___x___|___v___|_vmax_|
      3	    981	      1	  980.0	  11.64	  11.68
      3	    982	      1	  981.0	  11.75	  11.85
      3	    983	      1	  982.0	  11.93	  12.09
      3	    984	      1	  983.0	  12.14	  12.38
      3	    985	      1	  984.0	  12.41	  12.75
      3	    986	      1	  985.0	  12.68	  13.21
      3	    987	      1	  986.0	  12.95	  13.76
      3	    988	      1	  987.0	  13.21	  14.44
      3	    989	      1	  988.0	  13.46	  15.27
      3	    990	      1	  989.0	  13.71	  16.30
      3	    991	      1	  990.0	  13.95	  17.60
      3	    992	      1	  991.0	  14.19	  19.30
      3	    993	      1	  992.0	  14.42	  21.61
      3	    994	      1	  993.0	  14.65	  24.97
      3	    995	      1	  994.0	  14.87	  30.45
      3	    996	      1	  995.0	  15.09	  41.62
      3	    997	      1	  996.0	  15.30	  83.14
      3	    998	      1	  997.0	  15.51	 101.16
      3	    999	      1	  998.0	  15.72	  47.74
      3	   1000	      1	  999.0	  15.92	  35.13
      3	   1001	      1	 1000.0	  16.12	  29.56
      3	   1002	      1	 1001.0	  16.32	  26.46
      3	   1003	      1	 1002.0	  16.51	  24.58
      3	   1004	      1	 1003.0	  16.70	  23.45
      3	   1005	      1	 1004.0	  16.89	  22.87
      3	   1006	      1	 1005.0	  17.07	  22.68
      3	   1007	      1	 1006.0	  17.25	  22.54
      3	   1008	      1	 1007.0	  17.43	  22.40
      3	   1009	      1	 1008.0	  17.61	  22.27
      3	   1010	      1	 1009.0	  17.78	  22.16
      3	   1011	      1	 1010.0	  17.95	  22.04
      3	   1012	      1	 1011.0	  18.12	  21.94
      3	   1013	      1	 1012.0	  18.28	  21.84
      3	   1014	      1	 1013.0	  18.45	  21.75
      3	   1015	      1	 1014.0	  18.61	  21.66
      3	   1016	      1	 1015.0	  18.77	  21.59
      3	   1017	      1	 1016.0	  18.93	  21.51
      3	   1018	      1	 1017.0	  19.08	  21.45
      3	   1019	      1	 1018.0	  19.23	  21.39
      3	   1020	      1	 1019.0	  19.39	  21.34
      3	   1021	      1	 1020.0	  19.53	  21.29
      3	   1022	      1	 1021.0	  19.68	  21.25
      3	   1023	      1	 1022.0	  19.83	  21.22
      3	   1024	      1	 1023.0	  19.97	  21.19
      3	   1025	      1	 1024.0	  20.12	  21.17
      3	   1026	      1	 1025.0	  20.26	  21.15
      3	   1027	      1	 1026.0	  20.40	  21.14
      3	   1028	      1	 1027.0	  20.53	  21.15
      3	   1029	      1	 1028.0	  20.67	  21.83
      3	   1030	      1	 1029.0	  20.80	  23.69
      3	   1031	      1	 1030.0	  20.94	  27.31
      3	   1032	      1	 1031.0	  21.07	  34.79
      3	   1033	      1	 1032.0	  21.20	  57.18
      3	   1034	      1	 1033.0	  21.33	 115.45
      3	   1035	      1	 1034.0	  21.46	  55.29
      3	   1036	      1	 1035.0	  21.58	  40.01
      3	   1037	      1	 1036.0	  21.71	  36.32
      3	   1038	      1	 1037.0	  21.83	  36.28
      3	   1039	      1	 1038.0	  21.95	  36.28
      3	   1040	      1	 1039.0	  22.07	  36.29
      3	   1041	      1	 1040.0	  22.19	  36.31
      3	   1042	      1	 1041.0	  22.31	  36.32
      3	   1043	      1	 1042.0	  22.43	  36.34
      3	   1044	      1	 1043.0	  22.55	  36.37
      3	   1045	      1	 1044.0	  22.66	  36.39
      3	   1046	      1	 1045.0	  22.78	  36.42
      3	   1047	      1	 1046.0	  22.89	  36.45
      3	   1048	      1	 1047.0	  23.00	  36.48
      3	   1049	      1	 1048.0	  23.11	  36.51
      3	   1050	      1	 1049.0	  23.22	  36.55
      3	   1051	      1	 1050.0	  23.33	  36.58
      3	   1052	      1	 1051.0	  23.44	  36.62
      3	   1053	      1	 1052.0	  23.54	  36.65
      3	   1054	      1	 1053.0	  23.65	  36.69
      3	   1055	      1	 1054.0	  23.75	  36.72
      3	   1056	      1	 1055.0	  23.86	  36.76
      3	   1057	      1	 1056.0	  23.96	  36.79
      3	   1058	      1	 1057.0	  24.06	  36.82
      3	   1059	      1	 1058.0	  24.16	  36.85
      3	   1060	      1	 1059.0	  24.27	  36.88
      3	   1061	      1	 1060.0	  24.36	  36.91
      3	   1062	      1	 1061.0	  24.46	  36.93
      3	   1063	      1	 1062.0	  24.56	  36.96
      3	   1064	      1	 1063.0	  24.66	  36.97
      3	   1065	      1	 1064.0	  24.75	  36.99
      3	   1066	      1	 1065.0	  24.85	  37.00
      3	   1067	      1	 1066.0	  24.94	  37.01
      3	   1068	      1	 1067.0	  25.04	  37.01
      3	   1069	      1	 1068.0	  25.13	  36.71
      3	   1070	      1	 1069.0	  25.22	  35.70
      3	   1071	      1	 1070.0	  25.31	  34.17
      3	   1072	      1	 1071.0	  25.40	  32.36
